label;price;area;rooms
Wohnung;159000;95.05;4
Wohnung;175000;91;2
Wohnung;137500;95;4
Wohnung;127000;79;3
Wohnung;162500;93.78;3
Wohnung;136000;97.69;4
Wohnung;112500;75;3
Wohnung;277900;111;3
Wohnung;225000;82;3
Wohnung;137500;95;4
Haus;565000;172.88;6
Haus;280000;116.76;5
Haus;300000;417;10
Haus;345000;230;6
Haus;290000;250;8
Haus;303900;117;4
Haus;259000;127;5
Haus;440000;239;8
